label,Group,numOtus,Otu001,Otu002,Otu003,Otu004,Otu005,Otu006,Otu007,Otu008,Otu009,Otu010,Otu011,Otu012,Otu013,Otu014,Otu015,Otu016,Otu017,Otu018,Otu019,Otu020,Otu021,Otu022,Otu023,Otu024,Otu025,Otu026,Otu027,Otu028,Otu029,Otu030,Otu031,Otu032,Otu033,Otu034,Otu035,Otu036,Otu037,Otu038,Otu039,Otu040,Otu041,Otu042,Otu043,Otu044,Otu045,Otu046,Otu047,Otu048,Otu049,Otu050,Otu051,Otu052,Otu053,Otu054,Otu055,Otu056,Otu057,Otu058,Otu059,Otu060,Otu061,Otu062,Otu063,Otu064,Otu065,Otu066,Otu067,Otu068,Otu069,Otu070,Otu071,Otu072,Otu073,Otu074,Otu075,Otu076,Otu077,Otu078,Otu079,Otu080,Otu081,Otu082,Otu083,Otu084,Otu085,Otu086,Otu087,Otu088,Otu089,Otu090,Otu091,Otu092
0.03,PHJ18,92,0,0,84,113,0,642,24,3,0,30,6,1,1,7,1,108,0,1,3,0,15,192,19,5,0,1,16,7,2,0,1,3,5,21,27,1,0,4,0,6,0,1,0,42,0,17,22,2,0,3,1,2,2,2,0,0,19,31,0,0,1,12,3,0,1,0,4,0,3,9,0,0,1,1,11,0,5,0,0,1,0,3,0,0,1,0,1,0,2,4,0,0
0.03,PHJ62,92,337,0,0,34,0,0,0,0,0,0,1,99,16,10,367,232,0,0,0,0,0,0,2,0,88,69,4,0,0,0,14,81,0,2,0,0,0,111,0,0,0,0,0,5,0,0,0,5,0,0,0,0,9,1,0,0,0,0,0,0,4,0,8,14,15,0,0,0,0,0,0,1,14,0,4,0,0,1,0,0,5,1,0,0,0,0,2,0,0,0,0,0
0.03,PHJ7,92,0,0,1,13,0,18,14,476,44,17,131,1,29,17,0,0,5,0,238,0,5,1,7,18,5,0,34,91,22,0,1,0,13,13,1,26,2,0,32,0,10,0,31,3,25,17,23,42,13,4,17,22,14,7,0,7,6,0,0,2,0,4,7,0,0,0,0,1,6,1,4,0,0,0,0,0,3,0,2,0,0,1,1,0,1,1,0,2,2,0,2,0
0.03,PHJ71,92,944,0,0,3,0,8,6,0,0,0,63,315,0,1,29,0,0,0,0,0,0,0,1,1,1,44,0,0,0,19,1,46,0,2,9,0,0,11,0,0,28,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,3,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,1
0.03,PHJ85,92,0,1,546,2,327,1,15,0,44,83,19,1,115,71,0,0,3,1,0,16,5,0,10,0,14,31,0,0,4,0,73,6,0,0,62,0,1,2,0,2,0,0,21,0,5,24,0,12,0,6,4,0,2,3,0,0,0,0,1,1,6,0,0,0,0,0,0,8,2,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
0.03,PHJ87,92,0,50,0,4,0,11,882,56,1,107,35,0,26,85,0,0,1,0,0,4,11,8,11,0,23,28,50,0,0,2,0,1,0,14,18,22,0,1,0,5,3,0,3,0,0,2,6,6,0,5,10,0,17,7,0,3,0,0,0,0,17,0,1,0,2,1,1,1,5,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,2,0,0
0.03,PIJ18,92,0,0,18,541,0,89,4,0,0,110,4,0,1,9,0,19,17,65,0,0,61,78,75,112,1,0,29,36,6,7,1,0,76,6,5,10,0,0,12,28,0,29,0,24,0,3,1,0,2,8,9,6,1,2,0,0,19,4,6,2,0,1,0,0,0,3,1,0,1,1,4,2,0,2,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
0.03,PIJ62,92,584,0,0,49,0,0,1,0,0,0,0,21,37,39,64,121,0,47,0,0,7,1,5,1,121,9,20,0,5,0,10,31,0,28,0,0,1,80,0,0,0,0,0,17,0,4,0,0,0,13,3,0,6,0,99,0,0,0,0,42,0,0,7,31,11,3,0,0,0,0,0,2,14,0,3,3,0,4,0,0,7,0,1,4,0,0,0,0,0,0,0,0
0.03,PIJ7,92,0,0,2,38,0,5,3,29,109,9,116,0,22,21,0,1,68,29,16,1,16,0,15,116,1,0,35,70,42,0,0,0,74,19,1,14,54,0,179,0,2,23,3,2,90,2,2,1,137,15,16,61,4,5,0,42,6,0,6,2,0,0,0,0,0,3,3,0,2,0,13,2,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0
0.03,PIJ71,92,1040,0,0,20,0,5,15,0,6,1,66,39,1,6,14,0,1,13,2,1,6,0,7,31,1,2,0,1,3,116,1,18,0,12,3,0,0,3,0,0,39,15,0,3,0,1,0,0,0,15,6,0,0,1,1,0,2,1,7,3,0,2,3,3,0,1,2,1,0,0,1,1,0,1,0,5,0,0,0,4,1,0,0,2,1,0,0,0,0,0,0,0
0.03,PIJ85,92,0,38,46,6,193,0,0,0,488,110,9,0,78,53,0,0,42,78,0,133,7,0,20,0,4,0,0,0,119,0,26,1,3,2,5,0,33,0,0,0,0,3,0,0,13,2,0,0,0,6,6,4,1,10,0,0,0,0,0,2,0,0,0,0,1,6,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0
0.03,PIJ87,92,0,570,1,12,0,2,37,22,4,47,51,0,12,53,0,0,117,65,0,80,81,0,31,0,13,5,26,0,3,6,0,0,19,28,0,62,51,0,1,49,2,32,1,0,1,1,0,0,0,9,3,0,6,2,0,11,1,0,8,1,1,0,0,0,0,9,3,0,1,0,0,7,0,6,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
