,reference,OTU,functCONF,functOTHER,functUNKNOWN
Otu056,FALSE,TRUE,FALSE,FALSE,TRUE
Otu008,FALSE,TRUE,FALSE,FALSE,TRUE
Otu035,FALSE,TRUE,FALSE,FALSE,TRUE
Otu077,FALSE,TRUE,FALSE,FALSE,TRUE
Otu079,FALSE,TRUE,FALSE,FALSE,TRUE
Otu055,FALSE,TRUE,FALSE,FALSE,TRUE
Otu067,FALSE,TRUE,FALSE,FALSE,TRUE
Otu073,FALSE,TRUE,FALSE,FALSE,TRUE
Otu089,FALSE,TRUE,FALSE,FALSE,TRUE
Otu004,FALSE,TRUE,FALSE,FALSE,TRUE
Otu037,FALSE,TRUE,FALSE,FALSE,TRUE
Anaerostipes_strain_992a,TRUE,FALSE,TRUE,FALSE,FALSE
Anaerostipes_caccae_strain_L1-92_,TRUE,FALSE,FALSE,TRUE,FALSE
Otu020,FALSE,TRUE,FALSE,FALSE,TRUE
Otu026,FALSE,TRUE,FALSE,FALSE,TRUE
Otu024,FALSE,TRUE,FALSE,FALSE,TRUE
Otu014,FALSE,TRUE,FALSE,FALSE,TRUE
Otu092,FALSE,TRUE,FALSE,FALSE,TRUE
Otu010,FALSE,TRUE,FALSE,FALSE,TRUE
Eubacterium_hallii,TRUE,FALSE,TRUE,FALSE,FALSE
Otu080,FALSE,TRUE,FALSE,FALSE,TRUE
Otu034,FALSE,TRUE,FALSE,FALSE,TRUE
Otu022,FALSE,TRUE,FALSE,FALSE,TRUE
Otu066,FALSE,TRUE,FALSE,FALSE,TRUE
Otu050,FALSE,TRUE,FALSE,FALSE,TRUE
Roseburia_intestinalis_L1-82,TRUE,FALSE,TRUE,FALSE,FALSE
Otu087,FALSE,TRUE,FALSE,FALSE,TRUE
Roseburia_strain_499,TRUE,FALSE,TRUE,FALSE,FALSE
Otu045,FALSE,TRUE,FALSE,FALSE,TRUE
Otu048,FALSE,TRUE,FALSE,FALSE,TRUE
Otu029,FALSE,TRUE,FALSE,FALSE,TRUE
Otu051,FALSE,TRUE,FALSE,FALSE,TRUE
Otu019,FALSE,TRUE,FALSE,FALSE,TRUE
Otu003,FALSE,TRUE,FALSE,FALSE,TRUE
Otu085,FALSE,TRUE,FALSE,FALSE,TRUE
Otu028,FALSE,TRUE,FALSE,FALSE,TRUE
Eubacterium_rectale_DSM_17629,TRUE,FALSE,TRUE,FALSE,FALSE
Megasphaera_elsdenii_strain_14-14_#1,TRUE,FALSE,FALSE,TRUE,FALSE
Otu078,FALSE,TRUE,FALSE,FALSE,TRUE
Otu049,FALSE,TRUE,FALSE,FALSE,TRUE
Anaerostipes_strain_494a,TRUE,FALSE,TRUE,FALSE,FALSE
Otu002,FALSE,TRUE,FALSE,FALSE,TRUE
Otu043,FALSE,TRUE,FALSE,FALSE,TRUE
Otu065,FALSE,TRUE,FALSE,FALSE,TRUE
Eubacterium_nodatum_strain_68-3-10_#2,TRUE,FALSE,FALSE,TRUE,FALSE
Otu013,FALSE,TRUE,FALSE,FALSE,TRUE
Otu012,FALSE,TRUE,FALSE,FALSE,TRUE
Otu054,FALSE,TRUE,FALSE,FALSE,TRUE
Otu032,FALSE,TRUE,FALSE,FALSE,TRUE
Otu044,FALSE,TRUE,FALSE,FALSE,TRUE
Otu084,FALSE,TRUE,FALSE,FALSE,TRUE
Otu001,FALSE,TRUE,FALSE,FALSE,TRUE
Otu074,FALSE,TRUE,FALSE,FALSE,TRUE
Otu090,FALSE,TRUE,FALSE,FALSE,TRUE
Otu060,FALSE,TRUE,FALSE,FALSE,TRUE
Otu061,FALSE,TRUE,FALSE,FALSE,TRUE
Roseburia_hominis_A2-183,TRUE,FALSE,TRUE,FALSE,FALSE
Otu070,FALSE,TRUE,FALSE,FALSE,TRUE
Intesimonas_butyriciproducens_strain_27-5-10,TRUE,FALSE,TRUE,FALSE,FALSE
Otu068,FALSE,TRUE,FALSE,FALSE,TRUE
Otu006,FALSE,TRUE,FALSE,FALSE,TRUE
Yersinia_pestis_KIM10+_itaconate_coa_transferase,TRUE,FALSE,FALSE,TRUE,FALSE
Otu062,FALSE,TRUE,FALSE,FALSE,TRUE
Otu011,FALSE,TRUE,FALSE,FALSE,TRUE
Otu053,FALSE,TRUE,FALSE,FALSE,TRUE
Butyricicoccus_strain_BB10_#2,TRUE,FALSE,TRUE,FALSE,FALSE
Otu091,FALSE,TRUE,FALSE,FALSE,TRUE
Otu036,FALSE,TRUE,FALSE,FALSE,TRUE
Otu015,FALSE,TRUE,FALSE,FALSE,TRUE
Otu047,FALSE,TRUE,FALSE,FALSE,TRUE
Clostridium_aminobutyricum,TRUE,FALSE,FALSE,TRUE,FALSE
Butyrivibrio_fibrisolvens_16/4,TRUE,FALSE,TRUE,FALSE,FALSE
Otu057,FALSE,TRUE,FALSE,FALSE,TRUE
Peptoniphilus_strain_35-6-1,TRUE,FALSE,TRUE,FALSE,FALSE
Otu031,FALSE,TRUE,FALSE,FALSE,TRUE
Clostridium_kluyveri_DSM_555,TRUE,FALSE,FALSE,TRUE,FALSE
Otu063,FALSE,TRUE,FALSE,FALSE,TRUE
Otu023,FALSE,TRUE,FALSE,FALSE,TRUE
Otu081,FALSE,TRUE,FALSE,FALSE,TRUE
Otu017,FALSE,TRUE,FALSE,FALSE,TRUE
Otu039,FALSE,TRUE,FALSE,FALSE,TRUE
Otu033,FALSE,TRUE,FALSE,FALSE,TRUE
Otu052,FALSE,TRUE,FALSE,FALSE,TRUE
Otu076,FALSE,TRUE,FALSE,FALSE,TRUE
Otu064,FALSE,TRUE,FALSE,FALSE,TRUE
Otu040,FALSE,TRUE,FALSE,FALSE,TRUE
F_prausnitzii_A2_165,TRUE,FALSE,TRUE,FALSE,FALSE
Otu088,FALSE,TRUE,FALSE,FALSE,TRUE
Otu030,FALSE,TRUE,FALSE,FALSE,TRUE
Otu072,FALSE,TRUE,FALSE,FALSE,TRUE
Coprococcus_catus_GD_7,TRUE,FALSE,TRUE,FALSE,FALSE
Otu082,FALSE,TRUE,FALSE,FALSE,TRUE
Otu059,FALSE,TRUE,FALSE,FALSE,TRUE
Otu027,FALSE,TRUE,FALSE,FALSE,TRUE
Butyricicoccus_strain_BB10_#1,TRUE,FALSE,FALSE,TRUE,FALSE
Otu046,FALSE,TRUE,FALSE,FALSE,TRUE
Anaerostipes_caccae_DSM_14662,TRUE,FALSE,TRUE,FALSE,FALSE
Otu021,FALSE,TRUE,FALSE,FALSE,TRUE
Otu086,FALSE,TRUE,FALSE,FALSE,TRUE
Otu071,FALSE,TRUE,FALSE,FALSE,TRUE
Otu038,FALSE,TRUE,FALSE,FALSE,TRUE
Roseburia_inulinivorans_DSM_16841,TRUE,FALSE,TRUE,FALSE,FALSE
Eubacterium_nodatum_strain_68-3-10_#1,TRUE,FALSE,FALSE,TRUE,FALSE
Clostridium_tetani_E88,TRUE,FALSE,FALSE,TRUE,FALSE
Otu075,FALSE,TRUE,FALSE,FALSE,TRUE
Otu025,FALSE,TRUE,FALSE,FALSE,TRUE
Roseburia_strain_831b,TRUE,FALSE,TRUE,FALSE,FALSE
Otu042,FALSE,TRUE,FALSE,FALSE,TRUE
Otu069,FALSE,TRUE,FALSE,FALSE,TRUE
Otu016,FALSE,TRUE,FALSE,FALSE,TRUE
Otu083,FALSE,TRUE,FALSE,FALSE,TRUE
Otu018,FALSE,TRUE,FALSE,FALSE,TRUE
Megasphaera_elsdenii_strain_14-14_#2,TRUE,FALSE,TRUE,FALSE,FALSE
Otu007,FALSE,TRUE,FALSE,FALSE,TRUE
Otu058,FALSE,TRUE,FALSE,FALSE,TRUE
Otu041,FALSE,TRUE,FALSE,FALSE,TRUE
Otu009,FALSE,TRUE,FALSE,FALSE,TRUE
Otu005,FALSE,TRUE,FALSE,FALSE,TRUE
