	but672FWD_MM	but1031REV_MM	but672FWD_Melt	but1031REV_Melt	organism	definition	function
AAAB01008898	4	4	58.60237686097088	59.971098232460804	Anopheles gambiae str. PEST,definition=AGAP004396.PA	AGAP004396.PA	unknown
AABF01000037	2	2	51.39131983914314	52.257263397844326	Fusobacterium nucleatum subsp. vincentii ATCC 49256,definition=4.hydroxybutyrate:acetyl.CoA CoA transferase	4.hydroxybutyrate:acetyl.CoA CoA transferase	unknown
AAHO01000057	3	5	63.4941085268934	65.89905604914952	Burkholderia mallei GB8 horse 4,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AAOA02000001	2	5	57.30146695333855	59.96661443695257	Congregibacter litoralis KT71,definition=Acetyl.CoA hydrolase	Acetyl.CoA hydrolase	unknown
AAPH01000009	5	4	50.03609208391538	53.540789155667255	Photobacterium profundum 3TCK,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AAPR01000014	3	4	54.51491194853935	50.98467120478654	Psychroflexus torquis ATCC 700755,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
AAPR01000027	1	5	54.860529706475006	52.44323347657411	Psychroflexus torquis ATCC 700755,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AASE01000023	2	3	56.30439050425372	58.930887691717146	Chlorobium ferrooxidans DSM 13031,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
AAWS01000051	4	5	58.413078972044104	53.5104516149882	Microscilla marina ATCC 23134,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
AAXG02000004	0	0	67.13538887603465	66.25310376563891	Pseudoflavonifractor capillosus ATCC 29799,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AAXU02000001	3	3	55.72029553616085	54.79573784237351	Algoriphagus sp. PR1,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AAXX01000002	4	5	49.97965706523928	53.26710258835544	Flavobacteria bacterium BAL38,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AAYW02000014	2	2	53.16827952717398	54.74721184062054	Clostridium sp. L2.50,definition=hypothetical protein	hypothetical protein	unknown
ABAX03000001	1	3	61.99653806757328	62.05787815029407	Anaerostipes caccae DSM 14662,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ABCM01000012	0	4	63.635922981127806	55.82187867227583	Pedobacter sp. BAL39,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ABCQ01000002	6	3	49.35932639045342	52.597810968607746	Moritella sp. PE36,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
ABDE02000002	2	3	62.07116267256913	57.30713251107397	Victivallis vadensis ATCC BAA.548,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
ABED02000029	0	1	64.36519756455641	61.77299417361303	Faecalibacterium prausnitzii M21.2,definition=hypothetical protein	hypothetical protein	unknown
ABEH02000003	5	6	61.74839681970059	57.775871336800265	Salmonella enterica subsp. enterica serovar Javiana str. GA.MM04042433,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ABFK02000016	3	5	57.21293640773274	60.59909401574748	Alistipes putredinis DSM 17216,definition=hypothetical protein	hypothetical protein	unknown
ABHH01000001	4	6	55.58017065942448	51.39513395029462	Carnobacterium sp. AT7,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ABHI01000001	3	5	49.47139056480296	52.66015102052938	Flavobacteriales bacterium ALC.1,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
ABIL02000004	0	1	58.36258034834458	61.22045292170361	Anaerofustis stercorihominis DSM 17244,definition=hypothetical protein	hypothetical protein	unknown
ABIL02000004.33	0	1	58.72687037867854	61.22045292170361	Anaerofustis stercorihominis DSM 17244,definition=hypothetical protein	hypothetical protein	unknown
ABIL02000006	3	3	51.41072069287236	55.05842601155206	Anaerofustis stercorihominis DSM 17244,definition=hypothetical protein	hypothetical protein	unknown
ABXA01000049	3	5	52.561323060908364	54.154280408701084	Anaerococcus hydrogenalis DSM 7454,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ABXP02000035	1	3	55.61745901404373	55.546463112935214	Caldanaerobacter subterraneus subsp. pacificus DSM 12653,definition=Acetyl.CoA hydrolase	Acetyl.CoA hydrolase	unknown
ABYO01000189	3	4	50.00230623422459	59.405352090140184	Anaerococcus lactolyticus ATCC 51172,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ABZV01000003	3	6	46.8801473910205	50.2104054011707	Capnocytophaga sputigena ATCC 33612,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
ACDB02000006	2	2	51.75990736877304	51.78154587410597	Fusobacterium mortiferum ATCC 9817,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ACDC03000011	2	3	49.83343695146766	51.61254521688727	Fusobacterium periodonticum 2.1.31,definition=hypothetical protein	hypothetical protein	unknown
ACDE02000013	2	2	51.39131983914314	52.257263397844326	Fusobacterium nucleatum subsp. vincentii 4.1.13,definition=hypothetical protein	hypothetical protein	unknown
ACDE02000019	2	3	54.616645370399	54.19804852741436	Fusobacterium nucleatum subsp. vincentii 4.1.13,definition=hypothetical protein	hypothetical protein	unknown
ACDH02000029	3	3	55.94001264362532	60.39476702577252	Fusobacterium ulcerans ATCC 49185,definition=hypothetical protein	hypothetical protein	unknown
ACDS02000074	2	3	52.92585779471568	51.61254521688727	Fusobacterium nucleatum subsp. animalis D11,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACEP01000025	0	1	58.055308993768506	52.99924178826154	Eubacterium hallii DSM 3353,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ACET02000023	2	4	52.929774783827895	47.94965610463055	Fusobacterium gonidiaformans ATCC 25563,definition=hypothetical protein	hypothetical protein	unknown
ACFX02000016	6	2	63.705893601174466	63.577181107729984	Clostridium sp. M62.1,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
