	BCoATscrF_MM	BCoATscrR_MM	BCoATscrF_Melt	BCoATscrR_Melt	organism	definition	function
AAAB01008898	13	12	65.10327567122965	65.69048955045298	Anopheles gambiae str. PEST,definition=AGAP004396.PA	AGAP004396.PA	unknown
AABF01000037	14	8	53.3224205197414	49.0511772655135	Fusobacterium nucleatum subsp. vincentii ATCC 49256,definition=4.hydroxybutyrate:acetyl.CoA CoA transferase	4.hydroxybutyrate:acetyl.CoA CoA transferase	unknown
AAHO01000057	15	14	68.77129500507249	68.96955368592688	Burkholderia mallei GB8 horse 4,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AAOA02000001	18	15	66.0771788422839	65.9684176735297	Congregibacter litoralis KT71,definition=Acetyl.CoA hydrolase	Acetyl.CoA hydrolase	unknown
AAPH01000009	13	13	58.940375715524226	56.99725175967956	Photobacterium profundum 3TCK,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AAPR01000014	15	13	54.48358942380884	52.23393320195288	Psychroflexus torquis ATCC 700755,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
AAPR01000027	15	8	56.73416406491799	51.6039060480997	Psychroflexus torquis ATCC 700755,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AASE01000023	15	12	62.42722911007888	55.13078981045169	Chlorobium ferrooxidans DSM 13031,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
AAWS01000051	15	14	54.62969158652015	58.5389170008786	Microscilla marina ATCC 23134,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
AAXG02000004	6	10	71.35297954559809	69.45732104043083	Pseudoflavonifractor capillosus ATCC 29799,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AAXU02000001	15	10	54.11197473045928	50.96081444379172	Algoriphagus sp. PR1,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AAXX01000002	12	14	54.96766230875545	51.295127682134705	Flavobacteria bacterium BAL38,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AAYW02000014	9	11	61.202055667553054	56.34102898186018	Clostridium sp. L2.50,definition=hypothetical protein	hypothetical protein	unknown
ABAX03000001	13	9	57.287241692859595	60.3348351062225	Anaerostipes caccae DSM 14662,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ABCM01000012	19	14	57.17998915537743	60.60560187353968	Pedobacter sp. BAL39,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ABCQ01000002	18	11	57.31722067553517	55.75036177820465	Moritella sp. PE36,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
ABDE02000002	15	13	64.25611874862904	72.50649274712373	Victivallis vadensis ATCC BAA.548,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
ABED02000029	4	2	68.86202171353784	62.44044724027998	Faecalibacterium prausnitzii M21.2,definition=hypothetical protein	hypothetical protein	unknown
ABEH02000003	16	13	52.8151088062566	55.005491513331776	Salmonella enterica subsp. enterica serovar Javiana str. GA.MM04042433,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ABFK02000016	16	14	65.19746010468043	66.3097346062981	Alistipes putredinis DSM 17216,definition=hypothetical protein	hypothetical protein	unknown
ABHH01000001	12	12	53.3231569942468	51.707764938278956	Carnobacterium sp. AT7,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ABHI01000001	16	11	56.570514556044145	54.41187285596368	Flavobacteriales bacterium ALC.1,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
ABIL02000004	4	4	61.07553105027142	57.47835507399941	Anaerofustis stercorihominis DSM 17244,definition=hypothetical protein	hypothetical protein	unknown
ABIL02000004.33	12	5	57.85757423897303	55.422771776433535	Anaerofustis stercorihominis DSM 17244,definition=hypothetical protein	hypothetical protein	unknown
ABIL02000006	13	13	58.910802119927666	49.59630522238325	Anaerofustis stercorihominis DSM 17244,definition=hypothetical protein	hypothetical protein	unknown
ABXA01000049	11	6	55.726800325761985	51.5575929140856	Anaerococcus hydrogenalis DSM 7454,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ABXP02000035	15	11	58.88549108600017	54.58040133493296	Caldanaerobacter subterraneus subsp. pacificus DSM 12653,definition=Acetyl.CoA hydrolase	Acetyl.CoA hydrolase	unknown
ABYO01000189	10	8	60.080745831657566	59.18859039151209	Anaerococcus lactolyticus ATCC 51172,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ABZV01000003	14	11	51.26812966225236	53.615911135599845	Capnocytophaga sputigena ATCC 33612,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
ACDB02000006	6	6	56.671346917787105	54.1541719986576	Fusobacterium mortiferum ATCC 9817,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ACDC03000011	15	11	50.83395944155086	49.89148254285965	Fusobacterium periodonticum 2.1.31,definition=hypothetical protein	hypothetical protein	unknown
ACDE02000013	15	8	55.39289677469992	49.0511772655135	Fusobacterium nucleatum subsp. vincentii 4.1.13,definition=hypothetical protein	hypothetical protein	unknown
ACDE02000019	14	10	50.969686787864646	46.727408657884496	Fusobacterium nucleatum subsp. vincentii 4.1.13,definition=hypothetical protein	hypothetical protein	unknown
ACDH02000029	13	8	60.03773974972188	60.44564660784533	Fusobacterium ulcerans ATCC 49185,definition=hypothetical protein	hypothetical protein	unknown
ACDS02000074	14	10	52.48020033939554	46.2889192114568	Fusobacterium nucleatum subsp. animalis D11,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACEP01000025	1	0	58.788944322310726	60.437411877590364	Eubacterium hallii DSM 3353,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ACET02000023	16	10	60.4671196696537	57.274543535070904	Fusobacterium gonidiaformans ATCC 25563,definition=hypothetical protein	hypothetical protein	unknown
ACFX02000016	12	9	60.42517119057902	64.73226351408294	Clostridium sp. M62.1,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
ACFX02000051	2	1	62.567005622519844	60.70010372452316	Clostridium sp. M62.1,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ACGC01000120	10	6	62.05505589026069	59.34810594269709	Anaerococcus tetradius ATCC 35098,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ACIE02000004	13	7	60.98449540852448	55.80854295580201	Fusobacterium varium ATCC 27725,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
ACJM01000020	14	12	64.77242316282297	58.231267192137466	Dethiobacter alkaliphilus AHT 1,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
ACJY01000103	13	10	51.9395688225307	50.34029002511903	Fusobacterium periodonticum ATCC 33693,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACLR01000088	17	11	64.56767718069068	57.25045786453512	Porphyromonas uenonis 60.3,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACLR01000220	17	15	57.248071858604874	61.30833562324938	Porphyromonas uenonis 60.3,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACON01000001	13	11	60.03925569402696	65.36722977443219	Eubacterium saphenum ATCC 49989,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACSC01000002	15	10	53.22982157411485	55.46175139642696	Clostridium botulinum E1 str. 'BoNT E Beluga',definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACUO01000007.31	14	10	52.48020033939554	46.2889192114568	Fusobacterium sp. 11.3.2,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
ACVN01000017	19	15	58.725124103331325	58.17081864930452	Propionibacterium sp. oral taxon 191 str. F0233,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACVN01000031	17	13	64.02077240651482	67.30203423978912	Propionibacterium sp. oral taxon 191 str. F0233,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACWB01000093	13	10	57.287241692859595	60.3348351062225	Anaerostipes sp. 3.2.56FAA,definition=acetyl.CoA hydrolase.transferase domain.containing protein	acetyl.CoA hydrolase.transferase domain.containing protein	unknown
ACWK01000011	17	13	66.51421294845039	55.70968590518078	Clostridium sp. 7.3.54FAA,definition=hypothetical protein	hypothetical protein	unknown
ACWK01000021	12	9	64.57645980324293	68.33787758870437	Clostridium sp. 7.3.54FAA,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACWK01000033	12	11	58.01506765758438	63.23071630357339	Clostridium sp. 7.3.54FAA,definition=hypothetical protein	hypothetical protein	unknown
ACXU01000005	10	6	55.68385122932398	54.67103552118465	Anaerococcus vaginalis ATCC 51170,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ACYH01000041	5	4	61.490221918810164	60.22647816999631	Treponema vincentii ATCC 35580,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ADBS01000002	13	12	54.048628523015566	49.393603964691465	Photobacterium damselae subsp. damselae CIP 102761,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
ADDB01000007	13	10	54.62822317776266	44.8943194919587	Fusobacterium nucleatum subsp. polymorphum F0401,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
ADDO01000043	12	9	53.87849230861059	50.75357239530109	Peptoniphilus lacrimalis 315.B,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ADDX02000001	5	5	68.07548178245605	63.83999384278883	Ruminococcaceae bacterium D16,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ADDX02000001.3	13	12	62.81695463883443	64.5227920975085	Ruminococcaceae bacterium D16,definition=hypothetical protein	hypothetical protein	unknown
ADEE02000002	14	10	52.48020033939554	46.2889192114568	Fusobacterium nucleatum subsp. animalis 21.1A,definition=hypothetical protein	hypothetical protein	unknown
ADFP01000051	8	10	68.87399618606287	64.05451597720531	Pyramidobacter piscolens W5455,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ADGP01000005	14	9	63.74850568096889	57.57644551392906	Megasphaera genomosp. type.1 str. 28L,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
ADGP01000009	16	10	65.81762403078977	57.340821688934454	Megasphaera genomosp. type.1 str. 28L,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
ADGP01000009.47	13	11	63.419292474304314	62.20647235286896	Megasphaera genomosp. type.1 str. 28L,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
ADLD01000013	17	15	65.8325176241645	69.35064372409875	Alistipes indistinctus YIT 12060,definition=hypothetical protein	hypothetical protein	unknown
ADLQ01000022	12	9	64.57645980324293	68.33787758870437	Clostridium symbiosum WAL.14163,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
ADLQ01000077	2	6	63.77399101174166	65.33504055149052	Clostridium symbiosum WAL.14163,definition=butyryl.CoA transferase	butyryl.CoA transferase	unknown
ADLQ01000093	11	11	56.55874989883779	63.23071630357339	Clostridium symbiosum WAL.14163,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
ADLR01000066	12	9	64.57645980324293	68.33787758870437	Clostridium symbiosum WAL.14673,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
