	vitalF3_MM	vitalR3_MM	vitalF3_Melt	vitalR3_Melt	organism	definition	function
AAAB01008898	4	1	47.75720711856167	49.640030514765556	Anopheles gambiae str. PEST,definition=AGAP004396.PA	AGAP004396.PA	unknown
AABF01000037	2	3	40.32966578120869	42.61524588430865	Fusobacterium nucleatum subsp. vincentii ATCC 49256,definition=4.hydroxybutyrate:acetyl.CoA CoA transferase	4.hydroxybutyrate:acetyl.CoA CoA transferase	unknown
AAHO01000057	3	3	56.31817557773712	56.88827587688104	Burkholderia mallei GB8 horse 4,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AAOA02000001	2	5	45.773065697167	50.0691387743646	Congregibacter litoralis KT71,definition=Acetyl.CoA hydrolase	Acetyl.CoA hydrolase	unknown
AAPH01000009	4	3	37.594446583624915	47.255138773692295	Photobacterium profundum 3TCK,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AAPR01000014	2	2	43.260412319820205	45.4317337140277	Psychroflexus torquis ATCC 700755,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
AAPR01000027	2	4	43.67809339807468	42.56205384698069	Psychroflexus torquis ATCC 700755,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AASE01000023	1	3	44.293906585783134	48.315981391332855	Chlorobium ferrooxidans DSM 13031,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
AAWS01000051	3	2	48.92277760869422	45.4317337140277	Microscilla marina ATCC 23134,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
AAXG02000004	1	3	56.697086027106195	53.567785893963105	Pseudoflavonifractor capillosus ATCC 29799,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AAXU02000001	2	3	43.58921969138697	46.87179262335593	Algoriphagus sp. PR1,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AAXX01000002	2	4	36.78336550260525	46.5612293724804	Flavobacteria bacterium BAL38,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AAYW02000014	1	3	39.59844887305775	48.040022837782715	Clostridium sp. L2.50,definition=hypothetical protein	hypothetical protein	unknown
ABAX03000001	2	3	51.33191669743951	50.06417179011413	Anaerostipes caccae DSM 14662,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ABCM01000012	1	2	51.529501150203544	50.39602252829144	Pedobacter sp. BAL39,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ABCQ01000002	5	2	35.818123834864764	51.2481897652703	Moritella sp. PE36,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
ABDE02000002	3	3	49.434751814937385	51.5082790883319	Victivallis vadensis ATCC BAA.548,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
ABED02000029	0	2	52.72791339050116	53.56778589396305	Faecalibacterium prausnitzii M21.2,definition=hypothetical protein	hypothetical protein	unknown
ABEH02000003	5	4	52.164525739748626	45.8241404412168	Salmonella enterica subsp. enterica serovar Javiana str. GA.MM04042433,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ABFK02000016	1	2	45.83052017627989	50.13434909135782	Alistipes putredinis DSM 17216,definition=hypothetical protein	hypothetical protein	unknown
ABHH01000001	3	5	44.67158122383654	45.226551419240934	Carnobacterium sp. AT7,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ABHI01000001	2	4	36.04045107493613	48.02918038901146	Flavobacteriales bacterium ALC.1,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
ABIL02000004	0	1	46.248700425842856	51.49258153451183	Anaerofustis stercorihominis DSM 17244,definition=hypothetical protein	hypothetical protein	unknown
ABIL02000004.33	0	1	44.293906585783134	51.49258153451183	Anaerofustis stercorihominis DSM 17244,definition=hypothetical protein	hypothetical protein	unknown
ABIL02000006	3	2	38.86455907411482	43.288719431159905	Anaerofustis stercorihominis DSM 17244,definition=hypothetical protein	hypothetical protein	unknown
